q,a
"Среднегодовая скорость ветра — 2,6 м/с.",Среднегодовая скорость ветра — две целых шесть десятых м/с.
В Москве скончался режиссёр Юрий Трофимов.27.03.2015,В Москве скончался режиссёр Юрий Трофимов.27.03.2015
"Орбитальный период — около 34,908 суток.",Орбитальный период — около тридцати четырёх целых девятисот восьми тысячных суток.
"Масса — около 4,53 солнечных, радиус — около 4,85 солнечных, светимость — около 85,849 солнечных.","Масса — около четырёх целых пятидесяти трёх сотых солнечных, радиус — около четырёх целых восьмидесяти пяти сотых солнечных, светимость — около восьмидесяти пяти целых восьмисот сорока девяти тысячных солнечных."
"Масса — около 2,27 солнечных, радиус — около 10,21 солнечных, светимость — около 34,86 солнечных.","Масса — около двух целых двадцати семи сотых солнечных, радиус — около десяти целых двадцати одной сотой солнечных, светимость — около тридцати четырёх целых восьмидесяти шести сотых солнечных."
"0,6 п.л.",ноль целых шесть десятых п.л.
"Этот третий по величине камень Литвы — ледникового происхождения, его длина — 7,2 м, высота — 3,7 м, ширина — 5,7 м.","Этот третий по величине камень Литвы — ледникового происхождения, его длина — семь целых две десятых м, высота — три целых семь десятых м, ширина — пять целых семь десятых м."
(CC BY-SA 3.0),(CC BY-SA три целых ноль десятых)
"Занимает площадь 32,95 км².",Занимает площадь тридцать две целых девяносто пять сотых км².
"След задней лапы короче 2,5 см.",След задней лапы короче два с половиной см.
"Занимает площадь 1,846 км².",Занимает площадь одна целая восемьсот сорок шесть тысячных км².
"Уровень грамотности взрослого населения составлял 66,2 %.",Уровень грамотности взрослого населения составлял шестьдесят шесть целых две десятых %.
"Уровень грамотности среди мужчин составлял 73,6 %, среди женщин — 57,7 %.","Уровень грамотности среди мужчин составлял семьдесят три целых шесть десятых %, среди женщин — пятьдесят семь целых семь десятых %."
"Уклон 0,9 м/км.",Уклон ноль целых девять десятых м/км.
"Долина плоская, шириной до 2,5 км.","Долина плоская, шириной до двух целых пяти десятых км."
"Альбом собрал 65,16 млн стримов on-demand.",Альбом собрал шестьдесят пять целых шестнадцать сотых млн стримов on-demand.
"В 0,9 км от устья, по правому берегу реки впадает река Куцурако.","В ноль целых девять десятых км от устья, по правому берегу реки впадает река Куцурако."
"Средняя скорость ветра — 1,6 м/с.",Средняя скорость ветра — одна целая шесть десятых м/с.
"Она оснащена четырьмя котлами, каждый мощностью по 4,2 МВт.","Она оснащена четырьмя котлами, каждый мощностью по четыре целых две десятых МВт."
мечи и бант к ордену Св.,мечи и бант к ордену Св.
мечи и бант к ордену св.,мечи и бант к ордену св.
"В честь Годзиллы назван род триасовых динозавров-теропод Gojirasaurus, который c предполагаемой длиной 5,5 м считался одним из крупнейших теропод своей эпохи.","В честь Годзиллы назван род триасовых динозавров-теропод Gojirasaurus, который c предполагаемой длиной пять с половиной м считался одним из крупнейших теропод своей эпохи."
"Звезда расположена в галактике Sunburst Arc (Солнечная Дуга), находящейся на расстоянии 10,9 млрд световых лет от Земли.","Звезда расположена в галактике Sunburst Arc (Солнечная Дуга), находящейся на расстоянии десять целых девять десятых млрд световых лет от Земли."
"По словам режиссёра Синдзи Хигути, рост нового монстра составляет 118,5 метра.","По словам режиссёра Синдзи Хигути, рост нового монстра составляет сто восемнадцать с половиной метра."
"В нём рост кайдзю составил 119,8 метров, а вес 99,634 тыс. тонн.","В нём рост кайдзю составил сто девятнадцать целых восемь десятых метров, а вес девяносто девять целых шестьсот тридцать четыре тысячных тыс. тонн."
"Жуки мелких размеров; длина 2,1—2,2 мм.",Жуки мелких размеров; длина две целых одна десятая—две целых две десятых мм.
"Площадь — 21,7 га.",Площадь — двадцать одна целая семь десятых га.
"Уклон 3,4 м/км.",Уклон три целых четыре десятых м/км.
"Занимает площадь 0,172 км².",Занимает площадь ноль целых сто семьдесят две тысячных км².
"Расстояние по автодороге до районного центра Великого Устюга — 42,5 км, до бывшего центра муниципального образования Лодейки — 3,5 км.","Расстояние по автодороге до районного центра Великого Устюга — сорок два с половиной км, до бывшего центра муниципального образования Лодейки — три с половиной км."
"Среднегодовая температура воздуха — 2,9 °C.",Среднегодовая температура воздуха — две целых девять десятых °C.
"Длина — 99,3 км, площадь бассейна — 9628,1 км².","Длина — девяносто девять целых три десятых км, площадь бассейна — девять тысячи шестьсот двадцать восемь целых одна десятая км²."
"Блок успешно выступил на выборах, где занял первое место, получив 33,8% голосов.","Блок успешно выступил на выборах, где занял первое место, получив тридцать три целых восемь десятых% голосов."
"При написании этой статьи использовался материал (текст в Викитеке) из «Лентапедии», доступный по лицензии Creative Commons BY-SA 3.0 Unported.","При написании этой статьи использовался материал (текст в Викитеке) из «Лентапедии», доступный по лицензии Creative Commons BY-SA 3.0 Unported."
"Плотность населения — 58,25 чел./км².",Плотность населения — пятьдесят восемь целых двадцать пять сотых чел./км².
PMID 37434791 PMC 10332363 doi:10.2147/VHRM.S338424,PMID 37434791 PMC 10332363 doi:десять целых две тысяча сто сорок семь десятитысячных/VHRM.S338424
"Впадает в солончак залива Сиваш у села Славянское на отметке — 0,4 м от уровня моря.",Впадает в солончак залива Сиваш у села Славянское на отметке — ноль целых четыре десятых м от уровня моря.
"В квалификации Кими Райкконен опередил Михаэля Шумахера на 0,002 секунды - это второй результат за историю Ф1.",В квалификации Кими Райкконен опередил Михаэля Шумахера на ноль целых две тысячных секунды - это второй результат за историю Ф1.
Версия 6.2 Samsung Internet for Android поддерживает все телефоны на Android 5.0 и выше.,Версия шесть целых две десятых Samsung Internet for Android поддерживает все телефоны на Android пять целых ноль десятых и выше.
Ранее (5.0) Samsung Internet for Android поддерживался только на телефонах Samsung Galaxy и Google Nexus с Android 5.0 и выше.,Ранее (пять целых ноль десятых) Samsung Internet for Android поддерживался только на телефонах Samsung Galaxy и Google Nexus с Android пять целых ноль десятых и выше.
"На этом поезде Мейснер вывез в Германию доверенную ему кассу дипломатической миссии Германии в Киеве, составлявшую 3,4 млн рейхсмарок, и передал её в Берлине имперскому правительству.","На этом поезде Мейснер вывез в Германию доверенную ему кассу дипломатической миссии Германии в Киеве, составлявшую три целых четыре десятых млн рейхсмарок, и передал её в Берлине имперскому правительству."
"Расположена в северо-восточной части области в 2,5 км к северо-востоку от Сычёвки, на левом берегу реки Вазуза, у автодороги Р134 «Старая Смоленская дорога» Смоленск — Дорогобуж — Вязьма — Зубцов.","Расположена в северо-восточной части области в два с половиной км к северо-востоку от Сычёвки, на левом берегу реки Вазуза, у автодороги Р134 «Старая Смоленская дорога» Смоленск — Дорогобуж — Вязьма — Зубцов."
"выше по течению на расстоянии в 1,5 км расположено село Троицкое, ниже по течению на расстоянии в 2,5 км расположено село Манжелия.","выше по течению на расстоянии в один с половиной км расположено село Троицкое, ниже по течению на расстоянии в два с половиной км расположено село Манжелия."
"(89,95 %)",(восемьдесят девять целых девяносто пять сотых %)
"(5,54 %)",(пять целых пятьдесят четыре сотых %)
"(1,45 %)",(одна целая сорок пять сотых %)
"(1,13 %)",(одна целая тринадцать сотых %)
"(0,95 %)",(ноль целых девяносто пять сотых %)
"(0,34 %)",(ноль целых тридцать четыре сотых %)
"(0,66 %)",(ноль целых шестьдесят шесть сотых %)
"Вес птицы составляет примерно 1,5 кг.",Вес птицы составляет примерно один с половиной кг.
"По утверждению разработчиков, Lada Racing Club была сделана на движке версии 2.5, но данные в самой игре указывают на версию 1.0, ранее использовавшуюся в «Бумере: Сорванные башни».","По утверждению разработчиков, Lada Racing Club была сделана на движке версии два с половиной, но данные в самой игре указывают на версию одна целая ноль десятых, ранее использовавшуюся в «Бумере: Сорванные башни»."
"Разработчики обвинялись в намеренном завышении цены: два из четырёх дисков занимал устанавливаемый в папку с игрой неиспользуемый файл размером более 1,4 Гбайт.",Разработчики обвинялись в намеренном завышении цены: два из четырёх дисков занимал устанавливаемый в папку с игрой неиспользуемый файл размером более одной целой четырёх десятых Гбайт.
"- 2.55 руб., 48.00 руб.","- две целых пятьдесят пять сотых руб., сорок восемь целых ноль сотых руб."
"Средний возраст игроков сезона — 26,53 года",Средний возраст игроков сезона — двадцать шесть целых пятьдесят три сотых года
"Средний уклон 0,6 ‰.",Средний уклон ноль целых шесть десятых ‰.
"От мыса Американская Кошка до мыса Верхний Утёс средняя скорость составляет 1,1 км/ч, а при низком уровне воды (во время отлива) скорость суммарного течения колеблется от ноля целых семи десятых до двух целых пяти десятых км/ч.","От мыса Американская Кошка до мыса Верхний Утёс средняя скорость составляет одна целая одна десятая км/ч, а при низком уровне воды (во время отлива) скорость суммарного течения колеблется от ноля целых семи десятых до двух целых пяти десятых км/ч."
"Если во время прилива наблюдаются сильные нагонные ветры, то скорость обратного течения у мыса Американская Кошка может достигать 5,4 км/ч.","Если во время прилива наблюдаются сильные нагонные ветры, то скорость обратного течения у мыса Американская Кошка может достигать пять целых четыре десятых км/ч."
"Занимает площадь 875,34 км².",Занимает площадь восемьсот семьдесят пять целых тридцать четыре сотых км².
"Среднегодовая температура воздуха — 5,5 °С.",Среднегодовая температура воздуха — пять с половиной °С.
"Занимает площадь 101,7 км².",Занимает площадь сто одна целая семь десятых км².
"При этом лишь у 18,9 % жителей столицы оба родителя также родились в Киеве.",При этом лишь у восемнадцать целых девять десятых % жителей столицы оба родителя также родились в Киеве.
"Коренные киевляне при этом значительно отличаются по национальной принадлежности, а ещё разительнее — по языковым предпочтениям от некоренных киевлян, которые в настоящее время составляют большинство (55,0 %) постоянного населения столицы.","Коренные киевляне при этом значительно отличаются по национальной принадлежности, а ещё разительнее — по языковым предпочтениям от некоренных киевлян, которые в настоящее время составляют большинство (пятьдесят пять целых ноль десятых %) постоянного населения столицы."
"(0,46 %).",(ноль целых сорок шесть сотых %).
"Занимает площадь 1,12 км².",Занимает площадь одна целая двенадцать сотых км².
"Занимает площадь 18,8 км².",Занимает площадь восемнадцать целых восемь десятых км².
"Занимает площадь 2,92 км².",Занимает площадь две целых девяносто две сотых км².
"Вес: Брок 102,50 кг;",Вес: Брок сто две целых пятьдесят сотых кг;
"Этьен 101,20 кг",Этьен сто одна целая двадцать сотых кг
"Вес: Брок 98,90 кг;",Вес: Брок девяносто восемь целых девяносто сотых кг;
"Макклайн 120,20 кг",Макклайн сто двадцать целых двадцать сотых кг
"Вес: Брок 104,78 кг;",Вес: Брок сто четыре целых семьдесят восемь сотых кг;
"105,20",сто пять целых двадцать сотых
"Вес: Брок 101,60 кг;",Вес: Брок сто одна целая шестьдесят сотых кг;
"Ибрагимов 99,30 кг",Ибрагимов девяносто девять целых тридцать сотых кг
"Вес: Кличко 109,30 кг;",Вес: Кличко сто девять целых тридцать сотых кг;
"Брок 101,80 кг",Брок сто одна целая восемьдесят сотых кг
"Вес: Чемберс 96,60 кг;",Вес: Чемберс девяносто шесть целых шестьдесят сотых кг;
"Брок 109,30 кг",Брок сто девять целых тридцать сотых кг
"Плотность населения — 1,09 чел./км².Административный центр — Лагуна-Ема.",Плотность населения — одна целая девять сотых чел./км².Административный центр — Лагуна-Ема.
"Карта Япета с подписями на сайте Gazetteer of Planetary Nomenclature (PDF, 2,1 МБ)","Карта Япета с подписями на сайте Gazetteer of Planetary Nomenclature (PDF, две целых одна десятая МБ)"
"Занимает площадь 165,08 км².",Занимает площадь сто шестьдесят пять целых восемь сотых км².
"Общее содержание железа в добытой руде составляет не менее 28,0 %.",Общее содержание железа в добытой руде составляет не менее двадцати восьми целых ноля десятых %.
"АО «Олкон» разработана и внедрена в производство магнитная схема получения высококачественного концентрата, по которой, наряду с товарным концентратом, на дробильно-обогатительной фабрике получают магнетитовый концентрат высокой чистоты (содержание железа не менее семидесяти двух целых ноля десятых %, содержание оксида кремния не более ноля целых двадцати пяти сотых-0,35 %).","АО «Олкон» разработана и внедрена в производство магнитная схема получения высококачественного концентрата, по которой, наряду с товарным концентратом, на дробильно-обогатительной фабрике получают магнетитовый концентрат высокой чистоты (содержание железа не менее семидесяти двух целых ноля десятых %, содержание оксида кремния не более ноля целых двадцати пяти сотых-ноль целых тридцать пять сотых %)."
"Средняя температура воздуха самого холодного месяца (января) — −10,7 °C, средняя температура самого тёплого (июля) — 17,1 °С.","Средняя температура воздуха самого холодного месяца (января) — −десять целых семь десятых °C, средняя температура самого тёплого (июля) — семнадцать целых одна десятая °С."
"API определяет использование технологий Web Service как интерфейс, определенный WSDL 1.1 и подтвержденный Web Services Interoperability (WS-I Basic Profile)[прояснить].","API определяет использование технологий Web Service как интерфейс, определенный WSDL одна целая одна десятая и подтвержденный Web Services Interoperability (WS-I Basic Profile)[прояснить]."
== Спецификация API Parlay X 3.0 ==,== Спецификация API Parlay X три целых ноль десятых ==
"Средняя температура января −7,4 °C, средняя температура июля +20,3 °C.","Средняя температура января минус семь целых четыре десятых °C, средняя температура июля плюс двадцать целых три десятых °C."
Сравнение боке двух объективов — Canon EF 50mm F1.4 и Canon EF 50mm F1.8  (англ.),Сравнение боке двух объективов — Canon EF 50mm F1.4 и Canon EF 50mm F1.8  (англ.)
"Занимает площадь 7,8 км².",Занимает площадь семь целых восемь десятых км².
"Длина реки 7,1 км, площадь водосборного бассейна — 15,1 км².","Длина реки семь целых одна десятая км, площадь водосборного бассейна — пятнадцать целых одна десятая км²."
"Бротенау небольшая река длиной 7,1 км, площадь водосборного бассейна — 15,1 км².","Бротенау небольшая река длиной семь целых одна десятая км, площадь водосборного бассейна — пятнадцать целых одна десятая км²."
"Общая площадь: 68,2 км²",Общая площадь: шестьдесят восемь целых две десятых км²
"Изготовленные в Златоусте мечи покрыты золотом высшей 999,9 пробы и инкрустированы уральскими самоцветами — гранатами, символизирующими пролитую кровь, и голубыми топазами, которые считаются символом мира.","Изготовленные в Златоусте мечи покрыты золотом высшей девятьсот девяносто девять целых девять десятых пробы и инкрустированы уральскими самоцветами — гранатами, символизирующими пролитую кровь, и голубыми топазами, которые считаются символом мира."
"Длина мечей составляет 1,2 метра, вес — более пяти килограммов.","Длина мечей составляет одна целая две десятых метра, вес — более пяти килограммов."
"Плотность населения — 14,3 чел./км².",Плотность населения — четырнадцать целых три десятых чел./км².
"Занимает площадь 3,55 км².",Занимает площадь три целых пятьдесят пять сотых км².
"По данным Бюро переписи США, общая площадь округа равняется 303,030 км2, из которых 295,260 км2 — суша, и 6,475 км2, или 2,100 % — это водоёмы.","По данным Бюро переписи США, общая площадь округа равняется триста три целых тридцать тысячных км2, из которых двести девяносто пять целых двести шестьдесят тысячных км2 — суша, и шесть целых четыреста семьдесят пять тысячных км2, или две целых сто тысячных % — это водоёмы."
"Плотность населения составляет 25,00 человек на км2.",Плотность населения составляет двадцать пять целых ноль сотых человек на км2.
"Расовый состав населения: белые — 86,57 %, афроамериканцы — 11,35 %, коренные американцы (индейцы) — 0,23 %, азиаты — 0,11 %, гавайцы — 0,03 %, представители других рас — 0,99 %, представители двух или более рас — 0,72 %.","Расовый состав населения: белые — восемьдесят шесть целых пятьдесят семь сотых %, афроамериканцы — одиннадцать целых тридцать пять сотых %, коренные американцы (индейцы) — ноль целых двадцать три сотых %, азиаты — ноль целых одиннадцать сотых %, гавайцы — ноль целых три сотых %, представители других рас — ноль целых девяносто девять сотых %, представители двух или более рас — ноль целых семьдесят две сотых %."
"Испаноязычные составляли 1,52 % населения независимо от расы.",Испаноязычные составляли одна целая пятьдесят две сотых % населения независимо от расы.
"Средний размер домашнего хозяйства составляет 2,55 человека, и средний размер семьи — 2,99 человека.","Средний размер домашнего хозяйства составляет две целых пятьдесят пять сотых человека, и средний размер семьи — две целых девяносто девять сотых человека."
"Занимает площадь 12,62 км².",Занимает площадь двенадцать целых шестьдесят две сотых км².
"Занимает площадь 28,95 км².",Занимает площадь двадцать восемь целых девяносто пять сотых км².
"Среднегодовая температура воздуха — 4,8 °C.",Среднегодовая температура воздуха — четыре целых восемь десятых °C.
"Русло извилистое, в среднем течении на протяжении 9,1 км (1,8 км выше и 7,3 км ниже от озера Скрыдлево) канализировано.","Русло извилистое, в среднем течении на протяжении девять целых одна десятая км (одна целая восемь десятых км выше и семь целых три десятых км ниже от озера Скрыдлево) канализировано."
"Расположен в юго-западной части архипелага в 1,5 километрах к востоку от острова Брюса недалеко от мыса Пинегина.",Расположен в юго-западной части архипелага в один с половиной километрах к востоку от острова Брюса недалеко от мыса Пинегина.
"Наклонение орбиты — 56,4°;",Наклонение орбиты — пятьдесят шесть целых четыре десятых°;
"Период обращения — 91,5 мин;",Период обращения — девяносто один с половиной мин;
"В конце XIX века земельный надел сельской общины составлял 1857,9 десятин.",В конце XIX века земельный надел сельской общины составлял одна тысяча восемьсот пятьдесят семь целых девять десятых десятин.
"(93,3 %),","(девяносто три целых три десятых %),"
"(3,2 %),","(три целых две десятых %),"
"(2,0 %),","(две целых ноль десятых %),"
"Температура воздухаСреднегодовая температура воздуха + 6,0 °C.",Температура воздухаСреднегодовая температура воздуха + шесть целых ноль десятых °C.
"Среднегодовая скорость ветра составляет 3,0 м/с.",Среднегодовая скорость ветра составляет три целых ноль десятых м/с.
"Максимумы среднемесячной скорости ветра наблюдаются в зимний период, достигая величины 3,3 м/с, минимум — летом — 2,5-2,6 м/с.","Максимумы среднемесячной скорости ветра наблюдаются в зимний период, достигая величины три целых три десятых м/с, минимум — летом — два с половиной-две целых шесть десятых м/с."
"Зимой наибольшей силой отличаются юго-восточные и северо-западные ветры (3,6 м/с), в летний период — северные и северо-западные (3,1-2,8 м/с).","Зимой наибольшей силой отличаются юго-восточные и северо-западные ветры (три целых шесть десятых м/с), в летний период — северные и северо-западные (три целых одна десятая-две целых восемь десятых м/с)."
"Для 8,14 % общего населения города в материалах переписи не указана национальная принадлежность.",Для восемь целых четырнадцать сотых % общего населения города в материалах переписи не указана национальная принадлежность.
"Библиотечные работники обслуживают в год свыше 36,5 тысяч читателей.",Библиотечные работники обслуживают в год свыше тридцать шесть с половиной тысяч читателей.
"Охват населения библиотечным обслуживанием — 29,1 %.",Охват населения библиотечным обслуживанием — двадцать девять целых одна десятая %.
"Следует отметить высокую долю населения Серпухова, занятую в экономике Москвы, обеспечивающую существенную маятниковую миграцию, сальдо которой составляет −5,8 тысячи человек.","Следует отметить высокую долю населения Серпухова, занятую в экономике Москвы, обеспечивающую существенную маятниковую миграцию, сальдо которой составляет −пять целых восемь десятых тысячи человек."
"Среднее время в пути до Московского вокзала 1,5 часа.",Среднее время в пути до Московского вокзала один с половиной часа.
"87,7 FM — Дорожное радио",восемьдесят семь целых семь десятых FM — Дорожное радио
"88,1 FM — Русское радио",восемьдесят восемь целых одна десятая FM — Русское радио
"88,5 FM — Радио Дача (Высокие Дворики)",восемьдесят восемь с половиной FM — Радио Дача (Высокие Дворики)
"107,2 FM — Европа Плюс (Высокие Дворики)",сто семь целых две десятых FM — Европа Плюс (Высокие Дворики)
"Занимает площадь 10,93 км².",Занимает площадь десять целых девяносто три сотых км².
"Комета находилась тогда в созвездии Близнецов и имела яркость 15,0 m.",Комета находилась тогда в созвездии Близнецов и имела яркость пятнадцать целых ноль десятых m.
"Обладает довольно коротким периодом обращения вокруг Солнца — чуть менее 6,4 года.",Обладает довольно коротким периодом обращения вокруг Солнца — чуть менее шести целых четырёх десятых года.
"(21,75 млн км), что повлекло изменение её орбиты и сокращение периода обращения, который до этого времени составлял 7,15 года.","(двадцать одна целая семьдесят пять сотых млн км), что повлекло изменение её орбиты и сокращение периода обращения, который до этого времени составлял семь целых пятнадцать сотых года."
"Полученные данные о позициях кометы позволили установить, что прогноз Ситарского требует коррекции на −1,53 суток.","Полученные данные о позициях кометы позволили установить, что прогноз Ситарского требует коррекции на −одна целая пятьдесят три сотых суток."
"Яркость кометы была оценена в 20,3 m.",Яркость кометы была оценена в двадцать целых три десятых m.
"Среднегодовая температура воздуха — 2,2 °С.",Среднегодовая температура воздуха — две целых две десятых °С.
"Площадь острова Алегранса составляет 10,3 км².",Площадь острова Алегранса составляет десять целых три десятых км².
"Занимает площадь 346,30 км².",Занимает площадь триста сорок шесть целых тридцать сотых км².
"Авторитетное Чикагское руководство по стилю (в п. 6.104) указывает на возможность такой отбивки, когда одна из разделяемых им частей уже содержит пробел (Our New Zealand / Western Australia trip — наше путешествие по Новой Зеландии / Западной Австралии).","Авторитетное Чикагское руководство по стилю (в п. шесть целых сто четыре тысячных) указывает на возможность такой отбивки, когда одна из разделяемых им частей уже содержит пробел (Our New Zealand / Western Australia trip — наше путешествие по Новой Зеландии / Западной Австралии)."
"Среди молодёжи этот показатель ещё выше — 21,4 %.",Среди молодёжи этот показатель ещё выше — двадцать одна целая четыре десятых %.
"Звезды вращаются вокруг общего центра масс по орбите с большой полуосью 0,147 а. е. и эксцентриситетом 0,103, и делают один оборот за 8,8 земных суток.","Звезды вращаются вокруг общего центра масс по орбите с большой полуосью ноль целых сто сорок семь тысячных а. е. и эксцентриситетом ноль целых сто три тысячных, и делают один оборот за восемь целых восемь десятых земных суток."
"При написании этой статьи использовался материал статьи ««Известия Таврического общества истории, археологии и этнографии»	» (автор В. С. Шандра) из издания «Энциклопедия истории Украины», доступного по лицензии Creative Commons BY-SA 3.0 Unported.","При написании этой статьи использовался материал статьи ««Известия Таврического общества истории, археологии и этнографии»	» (автор В. С. Шандра) из издания «Энциклопедия истории Украины», доступного по лицензии Creative Commons BY-SA 3.0 Unported."
"Сумма трансфера составила 3,5 млн долларов.",Сумма трансфера составила три с половиной млн долларов.
"103.04, диаметр 103,3 км, глубина 2,85 км.","сто три целых четыре сотых, диаметр сто три целых три десятых км, глубина две целых восемьдесят пять сотых км."
"Мелкие коротконадкрылые жуки узко-овальной формы, длина тела 1,4—1,6 мм.","Мелкие коротконадкрылые жуки узко-овальной формы, длина тела одна целая четыре десятых—одна целая шесть десятых мм."
"Площадь района составляет 108,8 тысяч км².",Площадь района составляет сто восемь целых восемь десятых тысяч км².
"УрбанизацияГородское население (город Тарко-Сале и пгт Уренгой) составляет  70,4 % от всего населения района.",УрбанизацияГородское население (город Тарко-Сале и пгт Уренгой) составляет  семьдесят целых четыре десятых % от всего населения района.
"сельское хозяйство — 11,7 %",сельское хозяйство — одиннадцать целых семь десятых %
"промышленность — 21,3 %",промышленность — двадцать одна целая три десятых %
"строительство — 5,3 %",строительство — пять целых три десятых %
"торговля, транспорт и сфера услуг — 35,2 %","торговля, транспорт и сфера услуг — тридцать пять целых две десятых %"
"государственные и муниципальные службы — 26,5 %",государственные и муниципальные службы — двадцать шесть с половиной %
Округ занимает площадь 924.6 км2.,Округ занимает площадь девятьсот двадцать четыре целых шесть десятых км2.
Плотность населения составляла 10.7 человек на квадратный километр.,Плотность населения составляла десять целых семь десятых человек на квадратный километр.
"Крупнейшую протестантскую конфессию в стране представляют пятидесятники и неопятидесятники (4,7 тыс.).",Крупнейшую протестантскую конфессию в стране представляют пятидесятники и неопятидесятники (четыре целых семь десятых тыс.).
"Наиболее холодный месяц — январь со среднесуточной температурой −15,7 °C, наиболее тёплый — июль со среднемесячной температурой +17,6 °C.","Наиболее холодный месяц — январь со среднесуточной температурой минус пятнадцать целых семь десятых °C, наиболее тёплый — июль со среднемесячной температурой плюс семнадцать целых шесть десятых °C."
